鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大社區,房地(土地+建物),高雄市大社區神農里翠屏路84巷31~60號,21.46,住,,,1081209,土地1建物1車位0,六層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830128.0,134.26999999999998,4,2,2,有,有,3650000,27184.0,,0.0,0,,RPSOMLPKJHPFFIE98CA
左營區,房地(土地+建物),高雄市左營區民族一路1081~1110號,6.79,住,,,1081208,土地1建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870502.0,90.76,2,1,2,有,有,3500000,38563.0,,0.0,0,,RPQNMLNLKIOFFEE58CD
鼓山區,房地(土地+建物),高雄市鼓山區龍勝路31~60號,6.99,商,,,1081122,土地1建物1車位0,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001007.0,77.33,1,1,1,有,有,5550000,71770.0,,0.0,0,,RPPNMLPLKIOFFAE28CD
左營區,房地(土地+建物),高雄市左營區城峰路1~30號,12.0,住,,,1081213,土地1建物1車位0,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970410.0,115.06,3,2,2,有,有,5000000,43456.0,,0.0,0,,RPWNMLQKJHPFFEE98CA
左營區,房地(土地+建物),高雄市左營區安吉街421~450號,8.03,商,,,1081201,土地1建物1車位0,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941123.0,79.75,2,2,1,有,有,4380000,54922.0,,0.0,0,,RPOPMLOKJHPFFEE18CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫三路251巷1~30號,16.54,住,,,1081123,土地2建物1車位1,十二層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817.0,150.49,3,2,2,有,有,6550000,43524.0,坡道平面,0.0,0,,RPRQMLOKJHPFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區文自路201巷31~60號,15.64,住,,,1081201,土地1建物1車位1,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871106.0,119.31,3,2,2,有,有,7050000,59090.0,坡道機械,11.5,0,,RPRNMLRJJHPFFEE48CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路1~30號,18.74,住,,,1081112,土地1建物1車位2,十四層,24.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031128.0,277.49,3,2,2,有,有,19380000,69840.0,坡道平面,39.1,0,,RPSPMLQJJHPFFEE68CA
楠梓區,房地(土地+建物),高雄市楠梓區楠梓新路261巷16弄1~30號,10.8,住,,,1081202,土地1建物1車位0,十八層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830628.0,116.71,3,2,2,有,有,3400000,29132.0,,0.0,0,,RPQNMLMJJHPFFEE87CA
左營區,房地(土地+建物),高雄市左營區翠華路601巷31~60號,23.14,住,,,1081127,土地1建物1車位0,三層,16.0,住宅大樓(11層含以上有電梯),住家用,見使用執照,871209.0,151.53,3,2,2,有,有,5750000,37946.0,,0.0,0,,RPRNMLLMKIOFFEE28CA
左營區,房地(土地+建物)+車位,高雄市左營區重義路1~30號,8.87,商,,,1081128,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951023.0,119.49,3,2,2,有,有,5022000,42029.0,坡道機械,5.29,0,,RPVOMLLMKIOFFEE78CA
左營區,房地(土地+建物),高雄市左營區文川路301~330號,8.61,商,,,1081212,土地3建物1車位0,四層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850212.0,99.45,3,2,2,有,有,4350000,43741.0,,0.0,0,,RPSPMLLMKIOFFEE58CA
三民區,房地(土地+建物)+車位,高雄市三民區大昌二路361~390號,8.42,住,,,1081211,土地3建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870420.0,65.8,3,2,2,有,無,2600000,39514.0,坡道機械,15.87,0,受債權債務影響或債務抵償之交易。;,RPROMLKLJHPFFDE97CA
三民區,房地(土地+建物)+車位,高雄市三民區天祥二路1~30號,17.6,住,,,1081207,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831.0,173.19,3,2,2,有,有,10120000,58433.0,坡道平面,23.23,0,,RPWNMLQJJHPFFDE78CA
三民區,房地(土地+建物)+車位,高雄市三民區莊敬路241~270號,24.55,住,,,1081201,土地1建物1車位1,十一層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830620.0,150.39999999999995,4,2,2,有,有,5600000,37234.0,坡道平面,0.0,0,,RPWNMLNJJHPFFDE48CA
三民區,房地(土地+建物)+車位,高雄市三民區裕誠路61~90號,13.08,住,,,1081206,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870122.0,135.76999999999998,3,2,2,有,無,6880000,50674.0,坡道平面,0.0,0,,RPVNMLKKJHPFFDE18CA
三民區,房地(土地+建物),高雄市三民區應安街61~90號,9.02,商,,,1081202,土地1建物1車位0,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960129.0,71.46,2,2,1,有,有,3680000,51497.0,,0.0,0,,RPSNMLOKJHPFFDE28CA
前鎮區,房地(土地+建物),高雄市前鎮區武慶一路151~180號,10.37,住,,,1081124,土地2建物1車位0,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980722.0,88.99,3,2,1,有,有,4670000,52478.0,,0.0,0,,RPQPMLSJJHPFFCE48CA
小港區,房地(土地+建物)+車位,高雄市小港區建成街31~60號,16.2,住,,,1081125,土地1建物1車位1,二層，三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880528.0,148.47,3,2,2,有,有,6100000,41086.0,坡道平面,22.94,0,,RPVNMLSJJHPFFCE78CA
前鎮區,房地(土地+建物),高雄市前鎮區民權二路61~90號,17.41,住,,,1081207,土地2建物1車位0,十五層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780510.0,158.25,2,2,2,有,有,5400000,34123.0,,0.0,0,,RPQNMLLJJHPFFCE57CA
前鎮區,房地(土地+建物),高雄市前鎮區翠亨北路399巷1~30號,15.58,商,,,1081203,土地1建物1車位0,七層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970125.0,150.63,3,2,2,有,有,8350000,55434.0,,0.0,0,含增建或未登記建物。,RPQNMLPJJHPFFCE97CA
苓雅區,房地(土地+建物),高雄市苓雅區光明街61~90號,7.71,商,,,1081128,土地1建物1車位0,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960515.0,88.62,3,1,1,有,有,5680000,64094.0,,0.0,0,含增建或未登記建物。,RPWNMLNJJHPFFBE28CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路1~30號,32.16,住,,,1081115,土地2建物1車位1,七層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981109.0,286.95,3,2,3,有,有,25000000,87123.0,坡道平面,0.0,0,,RPVOMLQJJHPFFBE58CA
新興區,房地(土地+建物)+車位,高雄市新興區新田路91~120號,23.93,商,,,1081204,土地2建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840717.0,207.8,4,2,2,有,有,11000000,52936.0,坡道平面,0.0,0,,RPPOMLNJJHPFFBE67CA
新興區,房地(土地+建物),高雄市新興區中山一路271~300號,2.79,商,,,1081216,土地2建物1車位0,九層,13.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,850603.0,35.53,1,1,1,有,有,1900000,53476.0,,0.0,0,,RPUNMLKMKIOFFBE18CA
前金區,房地(土地+建物)+車位,高雄市前金區民生二路181~210號,20.73,商,,,1080715,土地1建物1車位1,二十三層,34.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,990602.0,566.19,0,0,0,無,有,52800000,91790.0,坡道平面,18.2,2500000,,RPUNMLKLJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路481~510號,22.78,住,,,1081120,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931208.0,161.4,3,2,2,有,有,8380000,51921.0,坡道平面,34.54,0,,RPUNMLQJJHPFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路541~570號,28.9,住,,,1081211,土地1建物1車位2,十二層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020313.0,334.35,4,2,3,有,有,30000000,89726.0,坡道平面,0.0,0,,RPPOMLQJJHPFFAE87CA
鼓山區,房地(土地+建物),高雄市鼓山區美術北一街91~120號,7.71,商,,,1081128,土地1建物1車位0,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950209.0,84.22,2,1,1,有,無,5300000,62930.0,,0.0,0,,RPQOMLQJJHPFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區自立橫路91~120號,9.12,商,,,1081213,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950303.0,93.75,2,1,1,有,有,5500000,58667.0,坡道機械,0.0,0,,RPPNMLMJJHPFFAE37CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路132巷1~30號,20.61,住,,,1081101,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930805.0,160.88,3,2,2,有,無,9700000,60293.0,坡道平面,20.63,0,,RPTNMLMJJHPFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區明華路331~360號,11.58,商,,,1081203,土地1建物1車位0,十三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840110.0,125.09,2,2,2,有,有,6260000,50044.0,,0.0,0,,RPPNMLLJJHPFFAE27CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路871~900號,18.13,商,,,1081203,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940915.0,190.36,3,2,2,有,有,13650000,71706.0,坡道機械,12.23,0,,RPTNMLPKJHPFFAE18CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.42,商,,,1081207,土地1建物1車位0,十八層,35.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860421.0,127.36,3,2,2,有,有,4600000,36118.0,,0.0,0,,RPWOMLMJJHPFFBE28CA
前鎮區,房地(土地+建物),高雄市前鎮區三多三路61~90號,9.3,商,,,1081102,土地1建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940504.0,128.13,3,2,2,有,有,7150000,55803.0,,0.0,0,,RPSOMLPKJHPFFCE38CA
三民區,房地(土地+建物)+車位,高雄市三民區德山街35巷1~30號,11.61,商,,,1081203,土地1建物1車位1,九層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820625.0,123.64,3,2,2,有,有,5600000,45293.0,坡道平面,0.0,0,有整修,RPSOMLNJJHPFFDE18CA
三民區,房地(土地+建物)+車位,高雄市三民區明賢街1~30號,17.75,住,,,1081208,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871002.0,140.89999999999995,3,2,2,有,有,8700000,61746.0,坡道平面,0.0,0,,RPQOMLQJJHPFFDE28CA
三民區,房地(土地+建物),高雄市三民區水源路217巷1~30號,10.05,住,,,1081205,土地2建物1車位0,十八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605.0,94.89,2,1,1,有,有,4700000,49531.0,,0.0,0,,RPVOMLRJJHPFFDE88CA
左營區,房地(土地+建物)+車位,高雄市左營區大中二路751~780號,14.78,住,,,1081031,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000628.0,139.03,3,2,2,有,有,7350000,52866.0,坡道平面,15.05,0,,RPTOMLMJJHPFFEE28CA
左營區,房地(土地+建物)+車位,高雄市左營區文天路121~150號,15.47,住,,,1081009,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000708.0,165.92000000000004,4,2,2,有,有,9700000,58462.0,坡道平面,9.84,0,,RPUNMLPJJHPFFEE58CA
左營區,房地(土地+建物),高雄市左營區大中二路624巷1~30號,6.39,住,,,1081125,土地1建物1車位0,十六層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841020.0,82.39,3,1,1,有,有,3700000,44908.0,,0.0,0,,RPPQMLKLJHPFFEE08CA
岡山區,房地(土地+建物)+車位,高雄市岡山區仁義路1~30號,35.48,住,,,1081217,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950306.0,198.22,4,2,2,有,有,3387292,17089.0,坡道平面,0.0,0,向政府機關承購之案件。;,RPTNMLSKJHPFFFE98CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區永和街91~120號,13.37,住,,,1081205,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880430.0,153.81,4,2,2,有,有,7380000,47981.0,坡道平面,18.78,0,,RPOOMLMJJHPFFGE97CA
鳳山區,房地(土地+建物),高雄市鳳山區建國路三段271~300號,8.31,住,,,1081117,土地1建物1車位0,十三層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830827.0,115.03,3,2,2,有,有,4420000,38425.0,,0.0,0,,RPOPMLMJJHPFFGE08CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.01,住,,,1081123,土地1建物1車位0,九層,40.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,990715.0,40.86,0,1,1,有,有,8800000,215370.0,,0.0,0,含增建或未登記建物。;,RPSNMLOLKIOFFAF28CA
土城區,房地(土地+建物),新北市土城區立德路91~120號,2.06,其他,,,1081204,土地2建物1車位0,五層,20.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,871123.0,29.21,1,1,1,有,有,3450000,118110.0,,0.0,0,含增建或未登記建物。;,RPSUMLPLKIOFFAF09CA
