鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),臺北市中山區林森北路361~390號,6.75,商,,,1081126,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740520,87.0,2,2,1,有,有,10950000,125862,,0.0,0,,RPSNMLMJJHPFFCA47CA
內湖區,房地(土地+建物),臺北市內湖區南京東路六段121~150號,28.0,住,,,1081110,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,130.53,3,2,2,有,有,23030000,176435,,0.0,0,陽台封頂,RPQOMLKMKIOFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷61~90號,41.47,住,,,1081115,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881108,153.16,3,2,2,有,有,20000000,130582,坡道平面,32.39,0,,RPPPMLNJJHPFFCA47CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段68巷1~30號,10.62,商,,,1081108,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,124.83000000000001,2,1,1,有,有,22680000,267875,坡道平面,45.39,1400000,,RPSPMLNJJHPFFCA77CA
內湖區,土地,石潭段三小段91~120地號,274.77,其他,,,1081209,土地16建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,1456,,0.0,0,包含公共設施保留地之交易。;,RPTNMLQJJHPFFCA97CA
內湖區,土地,大湖段一小段31~60地號,10.81,其他,,,1081209,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,9251,,0.0,0,,RPUNMLQJJHPFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區陽光街265巷1~30號,35.61,住,,,1081111,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730207,127.80000000000001,3,2,2,有,有,18800000,147105,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLSJJHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段123巷20弄1~30號,18.79,商,,,1081202,土地1建物1車位1,五層，六層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0890106,168.97,3,2,2,有,有,23000000,136119,坡道平面,0.0,0,,RPUOMLTJJHPFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路177巷1~30號,96.39,住,,,1081116,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980824,463.06999999999994,4,2,4,有,有,151500000,327164,坡道平面,74.92,0,含增建或未登記建物。;,RPQNMLLKJHPFFCA27CA
信義區,房地(土地+建物),臺北市信義區松山路540巷3弄1~30號,8.2,其他,,,1081117,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810106,72.92,3,2,2,有,無,14500000,198848,,0.0,0,含增建或未登記建物。;,RPPNMLOLKIOFFDA77CA
松山區,房地(土地+建物),臺北市松山區復興北路427巷1~30號,5.55,住,,,1081124,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971013,34.22,0,1,1,有,有,8280000,241964,,0.0,0,含增建或未登記建物。;,RPQNMLOLKIOFFDA87CA
信義區,房地(土地+建物)+車位,臺北市信義區松仁路275巷1~30號,38.12,住,,,1081129,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940614,160.45,3,2,2,有,有,33000000,205672,坡道平面,0.0,0,含增建或未登記建物。;,RPRNMLOLKIOFFDA97CA
