鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,房地(土地+建物),臺中市東區東光園路211~240號,100.0,住,,,1081120,土地1建物1車位0,全,三層,透天厝,住工用,鋼筋混凝土造,0730118,231.24,3,2,3,有,無,13250000,57300,,0.0,0,,RPSNMLRKJHPFFAB97CA
西區,房地(土地+建物)+車位,臺中市西區文化街121~150號,28.66,住,,,1051104,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071114,156.7,3,2,2,有,有,13900000,98345,坡道平面,28.58,1300000,,RPVNMLRKJHPFFAB28CA
北屯區,房地(土地+建物),臺中市北屯區衛道路31~60號,31.6,住,,,1081021,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880604,160.1,3,2,2,有,有,7460000,46596,,0.0,0,,RPXNMLNLKIOFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區僑孝街32巷1~30號,22.74,住,,,1081201,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800528,115.0,3,2,2,有,有,5380000,46787,,0.0,0,,RPQOMLNLKIOFFBB77CA
北區,房地(土地+建物),臺中市北區三民路三段54巷1~30號,29.2,住,,,1081110,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750710,97.62,3,2,2,有,無,5400000,55317,,0.0,0,,RPVPMLNLKIOFFBB38CA
北區,房地(土地+建物),臺中市北區進化路601~630號,23.3,住,,,1081106,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780413,136.1,3,2,2,有,有,4500000,33064,,0.0,0,,RPUOMLOLKIOFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區旅順路二段121~150號,77.0,住,,,1081008,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0740912,225.53,5,5,3,有,有,19100000,84689,,0.0,0,含增建或未登記建物。;,RPSRMLOLKIOFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區崇德六路一段151~180號,92.0,住,,,1081120,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680413,114.12,5,3,3,有,無,7200000,63091,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVRMLOLKIOFFBB68CA
北區,房地(土地+建物),臺中市北區漢口路四段61~90號,4.21,住,,,1081208,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,40.0,1,0,1,有,有,1820000,45500,,0.0,0,,RPRSMLOLKIOFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區中清路二段362巷21弄1~30號,10.42,住,,,1081120,土地2建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800625,41.71,1,1,1,有,無,1620000,38840,,0.0,0,,RPQNMLPLKIOFFBB87CA
