鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新興區,房地(土地+建物),高雄市新興區林森一路123巷1~30號,54.0,商,,,1081007,土地2建物1車位0,全,二層,透天厝,,加強磚造,0560707,85.02,3,2,2,有,無,9500000,111738,,0.0,0,含增建或未登記建物。;有整修,RPROMLKLJHPFFBE77CA
小港區,房地(土地+建物)+車位,高雄市小港區青山街123巷31~60號,14.29,住,,,1081128,土地1建物2車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890424,142.56,3,2,2,有,有,5000000,35073,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOQMLQLKIOFFCE48CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區公正路1~30號,17.5,住,,,1081209,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870919,173.06,4,1,2,有,有,5500000,31781,坡道平面,19.12,0,親友、員工或其他特殊關係間之交易。;,RPOOMLRLKIOFFCE38CA
新興區,土地,新興段二小段961~990地號,132.0,商,,,1081104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34340000,260152,,0.0,0,,RPVPMLOKJHPFFBE58CA
前鎮區,房地(土地+建物),高雄市前鎮區英德街19巷20弄1~30號,112.87,住,,,1081211,土地2建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1070619,304.55,5,2,4,有,無,26650000,87506,,0.0,0,,RPWOMLQLKIOFFCE09CA
苓雅區,房地(土地+建物),高雄市苓雅區和平二路438巷31~60號,78.0,住,,,1081207,土地2建物1車位0,全,二層,透天厝,,加強磚造,0600721,69.04,4,2,3,有,無,5680000,82271,,0.0,0,,RPUNMLNKJHPFFBE18CA
新興區,房地(土地+建物),高雄市新興區六合二路31~60號,2.85,商,,,1081216,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830610,33.38,1,1,1,有,有,1500000,44937,,0.0,0,含增建或未登記建物。,RPPNMLNJJHPFFBE57CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區興中二路121~150號,6.44,商,,,1081206,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080201,107.43,1,1,1,有,有,6980000,61795,坡道平面,27.65,2050000,,RPRNMLQJJHPFFBE08CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區興中二路121~150號,4.57,商,,,1081207,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080201,85.21000000000001,1,1,1,有,有,5500000,61969,坡道平面,28.73,2000000,,RPSNMLQJJHPFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區興中二路121~150號,5.3,商,,,1081203,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080201,68.63,1,1,1,有,有,4360000,63529,,0.0,0,,RPVNMLQJJHPFFBE48CA
新興區,土地,大港埔段541~570地號,159.0,商,,,1081128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38470000,241950,,0.0,0,,RPQNMLOJJHPFFBE77CA
苓雅區,房地(土地+建物),高雄市苓雅區中華四路19巷1~30號,10.29,商,,,1081205,土地2建物1車位0,十層，十一層,十九層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0790530,125.0,3,2,2,有,有,5250000,42000,,0.0,0,,RPXOMLQJJHPFFBE78CA
新興區,房地(土地+建物),高雄市新興區南台路73巷1~30號,35.5,商,,,1081113,土地1建物1車位0,全,三層,透天厝,,加強磚造,0600819,93.81,5,2,3,有,無,2200000,23452,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLRLKIOFFBE09CA
新興區,房地(土地+建物),高雄市新興區南台路73巷1~30號,35.5,商,,,1081113,土地1建物1車位0,全,三層,透天厝,,加強磚造,0600819,93.81,5,2,3,有,無,5000000,53299,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLRLKIOFFBE56CA
苓雅區,房地(土地+建物),高雄市苓雅區建國一路274巷1~30號,32.43,商,,,1081212,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700721,75.28,2,2,1,有,無,2700000,35866,,0.0,0,,RPQNMLSLKIOFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區六合路31~60號,7.13,住,,,1081213,土地3建物1車位0,五層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0681119,21.26,1,1,1,有,有,1000000,47037,,0.0,0,,RPPNMLTLKIOFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.85,商,,,1081212,土地1建物1車位0,四層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,137.62,3,2,2,有,有,4700000,34152,,0.0,0,,RPROMLRLKIOFFBE58CA
新興區,房地(土地+建物)+車位,高雄市新興區民生一路31~60號,9.45,商,,,1081017,土地1建物1車位1,十二層,二十五層,辦公商業大樓,商業用,鋼筋混凝土造,0810915,173.42000000000002,0,0,0,無,有,7800000,44978,坡道機械,0.0,0,,RPQNMLRLKIOFFBE38CA
鼓山區,土地,鼓南段三小段31~60地號,40.0,商,,,1081002,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3030000,75750,,0.0,0,含增建或未登記建物。;,RPSOMLPKJHPFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路301~330號,7.7,商,,,1081202,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950825,75.32,2,1,1,有,有,4900000,65056,,0.0,0,,RPQNMLOJJHPFFAE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,17.2,住,,,1080906,土地1建物1車位1,四層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,231.43,3,2,3,有,有,19250000,83800,坡道平面,20.81,1600000,,RPWNMLTJJHPFFAE78CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,34.41,住,,,1080731,土地1建物1車位2,二層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,438.41,4,2,4,有,有,38060000,86343,坡道平面,41.62,3800000,,RPXNMLTJJHPFFAE88CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,19.09,住,,,1081018,土地1建物1車位2,五層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,243.95999999999998,3,2,2,有,有,21290000,89404,坡道平面,41.62,3200000,,RPPOMLTJJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,19.09,住,,,1081013,土地1建物1車位2,十二層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,243.87,3,2,2,有,有,22090000,93399,坡道平面,41.62,3200000,,RPQOMLTJJHPFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,22.67,住,,,1081106,土地1建物1車位2,三層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,284.72,3,2,3,有,有,26500000,95845,坡道平面,41.62,3200000,,RPROMLTJJHPFFAE38CA
